Id,Date,Text
1432231424954875904,2021-08-30 06:39:15,"En un movimiento sin precedentes para un estado comunista, el banco central de #Cuba ha anunciado su intención de regular las criptomonedas como el #Bitcoin con fines de reanudar la entrada de divisas ante las dramáticas sanciones de Estados Unidos.

Libertad Financiera 💯 https://t.co/F1tWs3sR9W"
1432231362690437124,2021-08-30 06:39:01,"#bitcoin en caída libre …
 
¿Alguien que me quiera vender sus #bitcoins en $47,500 USD?

😅"
1432230903552491520,2021-08-30 06:37:11,"🔥¡Invita a tus amigos a #ProBitGlobal y recibe #recompensas de hasta el 30% en tarifas comerciales diariamente!

🔗 https://t.co/CgjvQUEpXD 

☝️¿Cuantos amigos has referido? 

#criptomonedas #BTC #ReferralProgram #crypto $btc #Bitcoin #gana #Recomendaciones"
1432230501390114817,2021-08-30 06:35:35,@JaviSiman La verdad el anuncio del Bitcoin no me genera dinero....aplicarlo si.
1432230402043879427,2021-08-30 06:35:12,"@tutialatorta @mkenzo_8 @Rossiii15 @pppua La energía sostenible no es un recurso mágico que puedas aumentar de forma ilimitada, al menos no en el tiempo en el que nos cargaríamos el planeta contaminando por, de verdad, un recurso como las bitcoin que no da tantas ventajas como dice dar."
1432230385241391111,2021-08-30 06:35:08,"@arvipor @getumbrel Un nodo completo de #Bitcoin para firmar mis propias transacciones sin intermediarios y tener una copia de la Blockchain completa en mi propio almacenamiento.

Nada para ganar dinero, solo para hacer más grande la red y permanecer + descentralizado."
1432230296934653953,2021-08-30 06:34:46,"@mxgxw_alpha Es una transición, hay gente que valoran más el dólar que Bitcoin y para muchos ese va a ser su primer contacto con bitcoin … y nada mejor que toparse con algo ya más o menos conocido (un ATM). A algunos nos dan igual los cajeros."
1432230176000253952,2021-08-30 06:34:18,A lo bien que no merezco tener el autoestima como una grafica del bitcoin
1432230093678579713,2021-08-30 06:33:58,"Los colegios de El Salvador ya empezarán a cobrar las colegiaturas en #bitcoin.
Ante la entrada en vigencia en pocos días ya empezaron a prepararse.

https://t.co/EgfF39BsPj https://t.co/MyzKA5WXhl"
1432230023164055552,2021-08-30 06:33:41,Si Bitcoin puede causar una guerra civil entonces tu crush si te quiere
1432229479234035712,2021-08-30 06:31:32,"📈 #BITCOIN de nuevo ha rechazado la zona de los 49k-50k y vuelve a mostrar debilidad en esa zona. Sigo con la idea de correcciones  en Septiembre en torno a los 44k. En estos días es posible seguir viendo una lateralización  en la zona de 47,5k-48,5k hasta cierre de vela mensual https://t.co/aA8K7zm15k"
1432229441732849666,2021-08-30 06:31:23,"Bitcoin solo superará al oro en cientos de años, dice Fernando Ulrich - https://t.co/1kvpmO8B7U #cryptocurrencies #criptomonedas #bitcoin #btc"
1432229237587644421,2021-08-30 06:30:34,"Las 5 principales criptomonedas a observar esta semana: BTC, ADA, LUNA, VET, XTZ
https://t.co/hKU0fooXjV"
1432229206948204544,2021-08-30 06:30:27,"Matriz de correlación de los principales mercados vs BTC, #bitcoin #criptomonedas #trading #volatilidad #pypro $BTC $ETH https://t.co/3a8Tvlqiht"
1432229108113620993,2021-08-30 06:30:03,"Precio: $967,507.00
Fuente: @Bitso #Bitso #BTCMXN $btc
Hora: 2021-08-30 01:30:03 (GMT-6)"
1432229100819820545,2021-08-30 06:30:01,"Precio actual del #Bitcoin, #Ethereum y #Ripple

 1 $USD  = $20.21 MXN
 1 $BTC = $967,625.02 MXN
 1 $ETH = $63,840.81 MXN
 1 $XRP = $22.79 MXN
 1 $LTC = $3,460.04 MXN
 1 $BCH = $13,000.00 MXN

Compra y Vende Bitcoin, Ethereum y Ripple desde aquí: https://t.co/EgcahDQQRb https://t.co/tIlxRQK8Z0"
1432229100148727808,2021-08-30 06:30:01,El patrón dólar y el Bitcoin -  https://t.co/zC01thIEId
1432229096524853251,2021-08-30 06:30:00,"@ReyesMario25 @KFC_sv @nayibbukele Ya les dió diarrea igual @KFC_sv sabe que es menos del 1.5% los llorones  porque la mitad de la oposición por no decir la mayoría de la minoría, reconoce el valor del btc 😎"
1432229095266422786,2021-08-30 06:30:00,#Sorare las tarjetas #NFT #futbol El #blockchain llega al mundo de los #cromos de fútbol con @SorareHQ https://t.co/SODFJrb76j https://t.co/dvZD6CRaST #Euro2020 #nftcollector #NFTdrop #NFTartist #NFTartists #NFTGiveaway #NFTcollectibles #NFTARTFinance #ethereum #bitcoin #erc721
